Twitter Listener Keywords,,,,,,,,,,,
This is a list of keywords to use for the Twitter Listener,,,,,,,,,,,
"When adding a company, create 3 lines for it: One for Hashtags , One for usernames used by that company , and one for mentions of the company or its products",,,,,,,,,,,
,,,,,,,,,,,
Marques Brownlee Mentions,Best Buy,Apple,Hot products,Top 10,exclusives,,,,,,
,,,,,,,,,,,
Augment product mention,Customer Service,Insurance ,tech support,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GameStop,EB Games,Switch,PS4,games,@GameStop,@EBGamesCanada,,,,,
,,,,,,,,,,,
The Source Hashtags,,,,,,,,,,,
The Source Usernames,,,,,,,,,,,
The Source Mentions,,,,,,,,,,,
